"stname","st","stusps","region"
"United States","US","US","USA"
"Alabama","01","AL","4"
"Alaska","02","AK","10"
"Arizona","04","AZ","9"
"Arkansas","05","AR","6"
"California","06","CA","9"
"Colorado","08","CO","8"
"Connecticut","09","CT","1"
"Delaware","10","DE","3"
"District of Columbia","11","DC","3"
"Florida","12","FL","4"
"Georgia","13","GA","4"
"Hawaii","15","HI","9"
"Idaho","16","ID","10"
"Illinois","17","IL","5"
"Indiana","18","IN","5"
"Iowa","19","IA","7"
"Kansas","20","KS","7"
"Kentucky","21","KY","4"
"Louisiana","22","LA","6"
"Maine","23","ME","1"
"Maryland","24","MD","3"
"Massachusetts","25","MA","1"
"Michigan","26","MI","5"
"Minnesota","27","MN","5"
"Mississippi","28","MS","4"
"Missouri","29","MO","7"
"Montana","30","MT","8"
"Nebraska","31","NE","7"
"Nevada","32","NV","9"
"New Hampshire","33","NH","1"
"New Jersey","34","NJ","2"
"New Mexico","35","NM","6"
"New York","36","NY","2"
"North Carolina","37","NC","4"
"North Dakota","38","ND","8"
"Ohio","39","OH","5"
"Oklahoma","40","OK","6"
"Oregon","41","OR","10"
"Pennsylvania","42","PA","3"
"Rhode Island","44","RI","1"
"South Carolina","45","SC","4"
"South Dakota","46","SD","8"
"Tennessee","47","TN","4"
"Texas","48","TX","6"
"Utah","49","UT","8"
"Vermont","50","VT","1"
"Virginia","51","VA","4"
"Washington","53","WA","10"
"West Virginia","54","WV","3"
"Wisconsin","55","WI","5"
"Wyoming","56","WY","8"
